País,Total Casos,Nuevos Casos,Total Muertes,Nuevas Muertes,Total Recuperados,Nuevos Recuperados,Casos Activos,Serios/Críticos,Total Casos/1M,Muertes/1M,Total Tests,Tests/1M,Población,Continente
Papua New Guinea,18542,-1.0,204,-1.0,17892,-1.0,446,7,2026.0,22.0,181868,19871,9152227,Australia/Oceania
Belize,18532,-1.0,389,-1.0,16518,-1.0,1625,10,45604.0,957.0,244683,602120,406369,North America
Taiwan,16129,6.0,839,-1.0,15144,23.0,146,-1,676.0,35.0,5839805,244660,23869108,Asia
Curaçao,16031,56.0,156,1.0,15399,47.0,476,4,97212.0,946.0,262852,1593941,164907,North America
Aruba,15221,19.0,158,1.0,14790,33.0,273,7,141833.0,1472.0,177885,1657581,107316,North America
Andorra,15124,-1.0,130,-1.0,14941,-1.0,53,4,195363.0,1679.0,193595,2500743,77415,Europe
Mali,15060,31.0,545,-1.0,14215,1.0,300,-1,719.0,26.0,406897,19417,20955772,Africa
Lesotho,14395,-1.0,403,-1.0,6830,-1.0,7162,-1,6656.0,186.0,146630,67795,2162849,Africa
Mauritius,14243,-1.0,50,-1.0,1854,-1.0,12339,-1,11177.0,39.0,358675,281462,1274330,Africa
Burundi,14189,-1.0,38,-1.0,773,-1.0,13378,-1,1152.0,3.0,345742,28066,12318710,Africa
Burkina Faso,14025,22.0,172,-1.0,13681,1.0,172,-1,649.0,8.0,215334,9971,21596185,Africa
Congo,13701,-1.0,183,-1.0,12421,-1.0,1097,-1,2411.0,32.0,188207,33121,5682365,Africa
Nicaragua,13025,-1.0,202,-1.0,4225,-1.0,8598,-1,1938.0,30.0,-1,-1,6720100,North America
Hong Kong,12158,5.0,213,-1.0,11869,2.0,76,-1,1606.0,28.0,24014928,3172064,7570758,Asia
Djibouti,11960,-1.0,157,-1.0,11688,-1.0,115,-1,11896.0,156.0,213490,212341,1005410,Africa
South Sudan,11805,5.0,121,-1.0,11195,-1.0,489,-1,1040.0,11.0,219648,19347,11352823,Africa
Iceland,11404,-1.0,33,-1.0,11017,-1.0,354,6,33158.0,96.0,1024988,2980223,343930,Europe
CAR,11309,-1.0,100,-1.0,6859,-1.0,4350,2,2293.0,20.0,60228,12213,4931468,Africa
Channel Islands,11269,-1.0,97,-1.0,10804,-1.0,368,-1,64099.0,552.0,872039,4960206,175807,Europe
Equatorial Guinea,11063,-1.0,137,-1.0,9490,-1.0,1436,1,7584.0,94.0,195087,133745,1458650,Africa
